gene_id,DRR095904,DRR095905,DRR095906,DRR095907,DRR095908,DRR095909
MSTRG.463,33,60,67,145,153,122
MSTRG.464,8,11,19,108,142,54
MSTRG.462,551,826,855,2943,2205,1561
MSTRG.465,41,25,2,153,125,23
MSTRG.466,88,21,38,42,104,18
MSTRG.467,6,9,2,66,92,50
MSTRG.468,99,185,165,305,268,218
MSTRG.469,227,234,191,542,482,500
MSTRG.471,65,91,47,361,281,184
MSTRG.470,20,24,18,345,374,276
MSTRG.473,6,0,4,0,0,0
MSTRG.474,8,16,17,0,0,0
MSTRG.475,6,16,12,92,70,39
MSTRG.472,1013,946,947,243,478,496
MSTRG.476,189,188,173,458,277,172
MSTRG.478,28,16,0,22,21,6
MSTRG.477,84,81,82,357,267,151
MSTRG.480,39,20,41,48,58,41
MSTRG.481,105,105,73,418,241,34
MSTRG.482,389,561,422,154,194,134
MSTRG.484,86,178,144,828,442,81
MSTRG.485,391,411,631,1273,730,412
MSTRG.486,42,75,129,38,45,82
MSTRG.487,129,189,184,1081,788,488
MSTRG.488,318,670,731,1548,1148,827
MSTRG.489,132,180,214,356,387,197
MSTRG.491,0,18,8,0,0,0
MSTRG.492,0,0,7,122,133,78
MSTRG.490,201,220,211,118,146,136
MSTRG.493,34,0,48,440,359,193
gene-QOZ80_1AG0007380,3,0,0,0,2,0
MSTRG.495,79,143,129,355,285,221
MSTRG.494,540,578,663,3163,2290,1495
gene-QOZ80_1AG0007500,2,0,0,23,22,14
MSTRG.496,29,57,39,267,254,188
MSTRG.498,30,72,31,242,206,144
MSTRG.497,293,681,878,652,786,418
MSTRG.499,603,513,656,1007,1079,635
MSTRG.501,50,114,82,814,707,236
MSTRG.500,95,181,207,1287,981,610
MSTRG.502,765,962,868,4252,3599,2396
gene-QOZ80_1AG0007720,2,2,0,3,1,1
MSTRG.506,4,36,11,119,99,54
MSTRG.505,124,163,78,952,857,545
MSTRG.503,267,219,175,864,668,493
MSTRG.508,122,176,185,783,673,416
gene-QOZ80_1AG0007810,6,0,0,0,0,0
MSTRG.509,38,20,36,111,126,34
MSTRG.510,42,0,27,118,99,94
MSTRG.511,2,0,11,34,18,14
MSTRG.512,17,37,78,65,79,31
MSTRG.513,8,9,6,80,59,38
MSTRG.514,8,16,10,121,122,85
MSTRG.515,112,105,157,996,769,417
MSTRG.517,4,0,11,5,11,20
MSTRG.516,421,573,359,945,674,615
MSTRG.519,0,0,0,26,33,4
MSTRG.520,3,26,26,8328,6615,1434
MSTRG.522,10,0,0,23,9,6
MSTRG.523,4,0,5,17,11,5
gene-QOZ80_1AG0008170,0,0,0,84,26,14
MSTRG.518,175,135,233,490,469,297
MSTRG.524,77,55,46,99,55,43
MSTRG.525,64,66,87,289,212,203
MSTRG.526,14,0,46,20,26,16
MSTRG.528,23,0,16,394,389,100
MSTRG.527,296,265,374,160,210,233
MSTRG.529,47,180,153,1119,782,524
MSTRG.533,16,32,23,15,26,11
MSTRG.534,8,66,44,136,137,137
MSTRG.530,41,129,113,211,140,102
MSTRG.531,573,594,890,1776,1423,1147
MSTRG.536,3,2,7,16,17,0
MSTRG.535,77,201,175,548,383,225
gene-QOZ80_1AG0008320,5,0,1,2,8,5
MSTRG.538,3,0,15,2,3,2
MSTRG.539,199,73,96,602,1178,393
MSTRG.541,7,45,11,7,2,0
MSTRG.540,293,428,310,3829,3916,1421
MSTRG.544,2,0,10,3,4,0
MSTRG.545,30,88,96,95,109,48
MSTRG.542,617,898,736,349,176,203
gene-QOZ80_1AG0008500,4,6,2,0,0,2
MSTRG.547,14,39,9,210,183,122
MSTRG.546,910,928,1260,1040,871,616
MSTRG.548,153,143,157,444,511,284
MSTRG.549,34,12,0,116,119,50
MSTRG.551,96,123,169,477,547,333
MSTRG.550,428,596,609,2118,1637,1179
MSTRG.553,115,274,122,647,679,505
MSTRG.554,24,36,9,535,396,10
MSTRG.555,43,14,19,149,186,29
MSTRG.556,18,10,0,264,156,37
MSTRG.557,8,18,13,629,393,299
MSTRG.558,2,21,0,179,166,92
MSTRG.559,876,1366,1508,1118,932,879
MSTRG.560,65,56,37,2,19,10
MSTRG.562,9,0,0,0,0,0
MSTRG.561,18,55,36,46,58,59
MSTRG.566,3,0,9,4,2,4
MSTRG.568,19,10,9,3,6,0
MSTRG.563,237,326,426,261,263,181
MSTRG.570,37,51,39,334,271,92
MSTRG.569,45,9,11,161,143,34
gene-QOZ80_1AG0009010,25,20,22,2,5,9
MSTRG.571,1178,1726,1483,2752,2274,1581
MSTRG.572,153,328,215,95,62,56
MSTRG.573,66,126,106,390,759,288
MSTRG.575,220,383,330,46,60,65
MSTRG.578,27,13,40,165,160,105
MSTRG.579,0,0,2,4,6,1
MSTRG.580,0,0,0,3,4,4
MSTRG.577,582,566,494,1115,974,683
MSTRG.583,12,0,0,6,5,5
MSTRG.582,159,197,313,110,99,74
MSTRG.584,35,32,52,396,325,240
MSTRG.581,418,763,737,929,848,391
MSTRG.586,26,0,51,286,296,196
MSTRG.585,1342,1535,1816,1939,2132,1226
MSTRG.587,91,45,105,640,487,319
MSTRG.590,150,50,14,61,53,26
MSTRG.591,22,108,77,184,114,77
MSTRG.592,334,468,352,869,650,376
MSTRG.593,366,846,891,930,989,687
MSTRG.597,15,0,25,87,46,44
MSTRG.595,0,4,0,1,0,0
MSTRG.594,52,58,62,166,194,121
MSTRG.600,4,36,15,286,173,80
MSTRG.602,2,37,17,438,529,231
MSTRG.601,0,0,0,214,196,129
MSTRG.598,77,99,71,148,102,86
MSTRG.603,30,16,12,26,22,2
MSTRG.604,152,240,205,591,553,464
MSTRG.606,79,119,110,97,71,40
MSTRG.605,507,752,625,130,190,138
MSTRG.608,0,0,0,0,0,0
MSTRG.607,8,25,0,1,0,2
MSTRG.609,180,284,311,1615,1128,673
MSTRG.610,33,26,69,284,214,133
MSTRG.613,1,0,8,17,11,4
MSTRG.611,22,68,67,252,173,129
MSTRG.612,6,11,2,39,42,30
MSTRG.615,204,296,272,820,637,368
MSTRG.622,2,27,0,5,4,0
MSTRG.623,43,0,45,234,205,141
MSTRG.618,0,0,16,6,0,0
MSTRG.619,36,158,103,343,278,208
MSTRG.620,0,20,0,0,0,0
MSTRG.624,78,105,67,848,662,451
MSTRG.625,701,1125,1056,4433,2993,2131
MSTRG.626,1236,1749,1675,8083,5314,3274
MSTRG.627,303,160,158,15767,12622,5833
MSTRG.628,21,46,11,328,261,161
MSTRG.631,0,14,0,0,0,0
MSTRG.630,26,0,18,422,450,220
MSTRG.629,477,749,636,1624,1424,1066
MSTRG.632,138,223,182,1376,990,662
MSTRG.633,2813,4227,4836,11527,9435,5940
MSTRG.634,80,30,46,165,313,207
MSTRG.636,197,178,281,1125,833,415
MSTRG.637,94,130,74,32,20,16
MSTRG.641,14,13,24,6,7,7
MSTRG.639,105,275,177,523,403,323
MSTRG.642,2,3,35,12,5,15
MSTRG.644,54,46,38,248,166,68
MSTRG.645,38,44,133,391,248,233
MSTRG.646,92,97,102,383,413,225
MSTRG.647,7,21,4,269,236,117
MSTRG.650,17,0,13,51,25,63
MSTRG.652,12,0,0,0,0,0
gene-QOZ80_1AG0010290,4,7,10,5,5,0
MSTRG.653,9,0,0,0,0,0
MSTRG.655,8,0,0,5,11,3
MSTRG.648,200,209,288,842,784,428
MSTRG.657,63,38,58,323,308,114
MSTRG.656,389,555,622,1357,1196,728
MSTRG.658,274,498,608,1304,1065,782
MSTRG.660,9,0,0,3,4,0
MSTRG.659,129,0,40,18350,16343,4749
MSTRG.661,43,28,47,234,245,125
MSTRG.662,199,199,194,817,588,347
MSTRG.663,97,111,174,953,672,468
MSTRG.664,8,0,0,0,0,0
MSTRG.665,17,53,6,9,10,8
MSTRG.666,8,4,14,33,34,20
MSTRG.667,357,370,354,697,598,582
MSTRG.668,364,407,326,610,297,155
MSTRG.669,103,56,93,265,265,175
MSTRG.670,94,187,156,1514,1371,919
MSTRG.671,62,97,132,337,383,260
MSTRG.672,36,50,29,220,380,266
MSTRG.673,87,84,44,309,183,69
MSTRG.675,13,36,34,547,312,112
MSTRG.676,0,0,15,12,0,0
MSTRG.677,5,14,7,45,49,19
MSTRG.678,31,24,5,32,44,9
gene-QOZ80_1AG0010700,9,0,2,56,41,22
MSTRG.674,669,872,880,2439,1955,1272
MSTRG.679,123,202,269,981,511,388
MSTRG.682,109,138,134,283,259,172
MSTRG.680,1002,1167,1320,793,760,563
MSTRG.681,15,39,0,6,13,13
MSTRG.683,32,99,47,369,328,213
MSTRG.686,0,0,0,100,132,101
MSTRG.684,39,107,31,87,77,27
MSTRG.687,469,298,222,980,735,400
MSTRG.689,3,0,26,59,53,36
MSTRG.690,41,0,27,5,5,10
MSTRG.688,42,161,112,276,200,174
MSTRG.691,193,278,243,646,651,479
MSTRG.693,541,771,983,2517,2073,1413
MSTRG.694,105,115,84,567,533,419
MSTRG.696,9,35,0,121,84,65
MSTRG.695,135,335,253,1202,782,505
MSTRG.697,50,27,36,97,57,65
MSTRG.698,288,566,528,1482,1151,794
MSTRG.699,40,59,43,88,66,89
MSTRG.700,39,82,77,242,250,125
MSTRG.701,126,148,149,554,465,381
MSTRG.702,412,655,583,733,628,643
MSTRG.703,101,156,94,233,233,158
MSTRG.706,29,123,101,235,222,114
MSTRG.707,206,301,284,1230,1096,705
MSTRG.709,47,43,36,67,68,80
MSTRG.710,164,246,341,1302,897,652
MSTRG.711,250,405,475,994,866,478
MSTRG.712,160,43,35,1907,1577,221
MSTRG.713,70,51,65,286,197,143
MSTRG.716,0,7,0,7,27,20
MSTRG.715,20,0,12,323,250,65
MSTRG.717,43,61,25,112,108,74
